"","mean_price.Group.2","mean_price.x.Rice","mean_price.x.Onion","mean_price..x.Tea.Loose.","mean_price..x.Tur.Arhar.Dal.","year","index"
"101","06-2003",10.6987430167598,7.03968253968254,116.124338624339,27.6521164021164,"2003",7
"119","07-2003",10.747215496368,8.07910628019324,116.057971014493,27.6268115942029,"2003",7
"138","08-2003",10.6476608187135,8.64766081871345,116.269005847953,27.6900584795322,"2003",7
"157","09-2003",10.6505571030641,8.9469696969697,117.833333333333,27.7411616161616,"2003",7
"176","10-2003",10.7864896073903,11.9058201058201,120.156084656085,29.212962962963,"2003",7
"195","11-2003",10.7045321637427,12.3991228070175,119.687134502924,29.1739766081871,"2003",7
"214","12-2003",10.6865497076023,11.1291005291005,118.626984126984,29.678835978836,"2003",7
"8","01-2004",10.7054292929293,12.390873015873,118.010582010582,29.7738095238095,"2004",8
"27","02-2004",10.7413580246914,12.4972222222222,118.265432098765,29.7037037037037,"2004",8
"46","03-2004",10.6704678362573,10.5865079365079,118.243386243386,29.515873015873,"2004",8
"65","04-2004",10.7178247734139,9.0054441260745,118.34670487106,29.6561604584527,"2004",8
"84","05-2004",10.7580808080808,7.71358024691358,118.227848101266,29.8271604938272,"2004",8
"102","06-2004",10.8116161616162,7.49570707070707,118.257575757576,30.1464646464646,"2004",8
"120","07-2004",10.9124338624339,7.81843434343434,121.666666666667,30.7042929292929,"2004",8
"139","08-2004",10.9488636363636,8.51969696969697,122.986111111111,31.8176767676768,"2004",8
"158","09-2004",10.9605072463768,8.71878306878307,123.044973544974,32.768253968254,"2004",8
"177","10-2004",11.0200292397661,9.05472222222222,122.972222222222,32.9861111111111,"2004",8
"196","11-2004",11.0039215686275,9.2953216374269,122.365497076023,32.6271929824561,"2004",8
"215","12-2004",10.9871980676328,8.86521739130435,122.987922705314,31.713768115942,"2004",8
"9","01-2005",11.1162280701754,8.61315789473684,124.324561403509,30.6359649122807,"2005",9
"28","02-2005",11.0720760233918,7.99805555555556,125.165277777778,29.7825,"2005",9
"47","03-2005",11.1134920634921,7.17777777777778,125.21164021164,29.3100529100529,"2005",9
"66","04-2005",11.1382716049383,6.95524691358025,125.512345679012,28.9771604938272,"2005",9
"85","05-2005",11.1838888888889,6.87724867724868,125.531746031746,28.8492063492063,"2005",9
"103","06-2005",11.2337121212121,6.71186868686869,125.472222222222,29.6502525252525,"2005",9
"121","07-2005",11.3084541062802,7.32936507936508,126.391534391534,30.4616402116402,"2005",9
"140","08-2005",11.3918055555556,8.0125,126.329545454545,30.8270202020202,"2005",9
"159","09-2005",11.4199494949495,11.9045454545455,125.628787878788,30.7992424242424,"2005",9
"178","10-2005",11.3935185185185,14.6988304093567,125.735380116959,30.9459064327485,"2005",9
"197","11-2005",11.3165277777778,16.75,125.159356725146,31.1345029239766,"2005",9
"216","12-2005",11.4510582010582,13.9393939393939,124.771464646465,30.9646464646465,"2005",9
"10","01-2006",11.7844155844156,9.78055555555556,124.5,30.4166666666667,"2006",10
"29","02-2006",11.6942857142857,7.73391812865497,124.216374269006,30.125730994152,"2006",10
"48","03-2006",11.8027842227378,7.01515151515152,124.280303030303,30.4393939393939,"2006",10
"67","04-2006",11.8272980501393,6.73856209150327,124.343137254902,31.6830065359477,"2006",10
"86","05-2006",11.7979797979798,6.69565217391304,124.381642512077,32.3140096618357,"2006",10
"104","06-2006",11.8973214285714,6.58838383838384,124.260101010101,32.3611111111111,"2006",10
"122","07-2006",11.916864608076,7.26455026455026,124.613756613757,31.9417989417989,"2006",10
"141","08-2006",12.4117647058824,8.34855769230769,129.578947368421,32.2942583732057,"2006",10
"160","09-2006",12.2742268041237,8.67372134038801,128.938271604938,33.0035273368607,"2006",10
"179","10-2006",12.234693877551,8.79837067209776,130.904276985743,33.3869653767821,"2006",10
"198","11-2006",12.6688172043011,9.18165467625899,135.579136690647,32.9658273381295,"2006",10
"217","12-2006",12.6537634408602,9.68548387096774,136.066532258065,32.6451612903226,"2006",10
"11","01-2007",13.1699346405229,12.0221774193548,136.564516129032,32.4838709677419,"2007",11
"30","02-2007",12.9774266365688,14.8559139784946,136.825806451613,34.5634408602151,"2007",11
"49","03-2007",12.7905660377358,12.9466666666667,138.611428571429,34.8952380952381,"2007",11
"68","04-2007",12.934693877551,11.0019493177388,138.879142300195,35.7407407407407,"2007",11
"87","05-2007",13.0619765494137,9.85765765765766,140.037837837838,36.1945945945946,"2007",11
"105","06-2007",13.1375464684015,10.2277777777778,142.438888888889,36.6111111111111,"2007",11
"123","07-2007",13.4056074766355,12.7432188065099,143.138989169675,37.5740072202166,"2007",11
"142","08-2007",13.2141372141372,14.6747967479675,139.297570850202,38.0040485829959,"2007",11
"161","09-2007",13.3917322834646,17.3056680161943,142.617408906883,38.3178137651822,"2007",11
"180","10-2007",13.449168207024,18.3572710951526,142.757142857143,38.6214285714286,"2007",11
"199","11-2007",13.5754385964912,17,144.897435897436,40.0989010989011,"2007",11
"218","12-2007",13.8253676470588,13.5688259109312,145.921052631579,41.0323886639676,"2007",11
"12","01-2008",15.0415282392027,11.9038785834739,145.830536912752,40.2130872483221,"2008",12
"31","02-2008",15.1314285714286,10.1648351648352,145.747252747253,39.3974358974359,"2008",12
"50","03-2008",15.2880434782609,9.02429149797571,145.939271255061,40.0991902834008,"2008",12
"69","04-2008",15.5391791044776,8.70611439842209,145.065088757396,40.2721893491124,"2008",12
"88","05-2008",15.8229927007299,8.49638989169675,144.960431654676,40.7895683453237,"2008",12
"106","06-2008",16.0567226890756,8.53014184397163,146.216931216931,40.9488536155203,"2008",12
"124","07-2008",16.0794701986755,9.25244299674267,147.967532467532,41.9821428571429,"2008",12
"143","08-2008",16.1244979919679,11.4602803738318,146.095794392523,43.8411214953271,"2008",12
"162","09-2008",16.1742738589212,11.6195286195286,148.905723905724,44.4680134680135,"2008",12
"181","10-2008",16.3047001620746,11.737037037037,149.653703703704,45.5962962962963,"2008",12
"200","11-2008",16.2924187725632,13.17738791423,151.949317738791,46.2923976608187,"2008",12
"219","12-2008",16.4,15.047619047619,154.172839506173,45.7319223985891,"2008",12
"13","01-2009",16.9858906525573,16.3981481481481,155.657407407407,45.5925925925926,"2009",13
"32","02-2009",17.0896686159844,16.3407407407407,157.066666666667,47.0944444444444,"2009",13
"51","03-2009",17.1252204585538,15.9148148148148,158.105555555556,47.6759259259259,"2009",13
"70","04-2009",17.1710758377425,13.7057613168724,159.512345679012,49.5781893004115,"2009",13
"89","05-2009",17.0881834215168,12,162.077777777778,52.5203703703704,"2009",13
"107","06-2009",17.1657848324515,11.7878787878788,164.328282828283,54.479797979798,"2009",13
"125","07-2009",17.4938271604938,12.6988727858293,165.371980676328,61.5764895330113,"2009",13
"144","08-2009",17.5555555555556,12.8796296296296,167.674074074074,70.1555555555556,"2009",13
"163","09-2009",17.7142857142857,13.1388888888889,171.474074074074,71.95,"2009",13
"182","10-2009",17.9153439153439,17.620811287478,175.310405643739,73.1216931216931,"2009",13
"201","11-2009",18.4463937621832,20.0018518518519,178.47037037037,75.9944444444444,"2009",13
"220","12-2009",18.4740740740741,21.6613756613757,180.557319223986,76.7266313932981,"2009",13
"14","01-2010",19.3692810457516,20.8537037037037,183.701851851852,75.2962962962963,"2010",14
"33","02-2010",19.0566801619433,19.5055555555556,181.468518518519,70.2203703703704,"2010",14
"52","03-2010",19.2350119904077,14.5504587155963,176.027607361963,62.8567073170732,"2010",14
"71","04-2010",19.0424242424242,11.336,174.08,65.7493261455526,"2010",14
"90","05-2010",18.9621513944223,10.8353909465021,179.546666666667,66.4876543209877,"2010",14
"108","06-2010",19.0746268656716,11.0827702702703,178.344890510949,66.6891891891892,"2010",14
"126","07-2010",19.2188976377953,12.7343485617597,177.986183074266,65.0896785109983,"2010",14
"145","08-2010",19.4274924471299,14.0412541254125,179.107260726073,63.4677685950413,"2010",14
"164","09-2010",19.4468911917098,17.238578680203,176.608072916667,61.8891786179922,"2010",14
"183","10-2010",19.5498059508409,21.5826589595376,174.763157894737,62.0579196217494,"2010",14
